Llama3.1-8B,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.2375,0.0000,0.0000,0.0000,0.0500,0.0000,0.5000,0.6000,0.3000
,vanilla,0.7000,0.0000,0.0000,0.6500,0.0000,0.0000,0.9500,0.9500,0.9500
,vanilla-glove,0.8250,0.4500,0.8500,0.5000,0.8000,0.6500,0.8500,0.9500,0.9500
,memorybank,0.8875,0.2625,0.1250,0.2000,0.4000,0.4500,0.8000,0.8000,0.9500
,memorybank-glove,0.4500,0.6625,0.2000,0.6000,0.7000,0.3000,0.9500,0.9500,0.5500
,voyager,0.6625,0.0000,0.0000,0.1500,0.0000,0.0000,0.9500,0.9000,
,voyager-glove,0.7250,0.6750,0.8500,0.5500,0.6000,0.5000,0.9000,,
,generative,0.9625,0.0000,0.0000,0.2000,0.0000,0.0000,1.0000,1.0000,
,generative-glove,0.7750,0.5125,0.8500,0.3500,0.3500,0.4500,0.8000,0.9500,0.9000
,,env0,env1,,env0,env1,,,,
implicit,no-memory,0.4750,,,0.0000,0.0000,,,,
,vanilla,0.2250,,,0.1000,0.5000,,,,
,vanilla-glove,0.9375,,,0.1250,0.9500,,,,
,memorybank,0.2625,,,0.0750,0.6500,,,,
,memorybank-glove,0.5000,,,0.0500,0.6500,,,,
,voyager,0.8250,,,0.2000,0.3500,,,,
,voyager-glove,0.3250,,,0.1500,1.0000,,,,
,generative,0.4875,,,0.1500,0.6000,,,,
,generative-glove,0.6250,,,0.1750,0.9000,,,,

Llama3.3-70B,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.5000,0.4875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,vanilla,0.8750,0.0000,0.0000,0.8500,0.0000,0.0000,,,
,vanilla-glove,0.9250,0.9250,0.8500,0.8500,0.8500,0.8500,,,
,memorybank,1.0000,0.3250,0.2250,0.8500,0.0000,0.5500,,,
,memorybank-glove,1.0000,0.9375,0.8250,0.8000,0.8500,0.8500,,,
,voyager,0.8375,0.0000,0.0000,0.8500,0.0000,0.0000,,,
,voyager-glove,0.8750,0.9375,0.9375,0.9500,0.8500,0.8500,,,
,generative,0.9250,0.0000,0.0000,0.9000,0.0000,0.8500,,,
,generative-glove,0.8000,0.8250,0.8250,0.9000,0.8500,0.8500,,,
,,env0,env1,,env0,env1,,,,
implicit,no-memory,0.9125,,,0.0000,0.0000,,,,
,vanilla,0.8625,,,0.4250,0.9500,,,,
,vanilla-glove,1.0000,,,0.4250,1.0000,,,,
,memorybank,0.9875,,,0.3500,0.9000,,,,
,memorybank-glove,1.0000,,,0.3500,0.9000,,,,
,voyager,0.9625,,,0.4000,1.0000,,,,
,voyager-glove,1.0000,,,0.4000,1.0000,,,,
,generative,1.0000,,,0.4000,1.0000,,,,
,generative-glove,1.0000,,,0.4250,1.0000,,,,

Qwen2.5-7B,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.7000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,vanilla,0.6750,0.0000,0.0000,0.8500,0.0000,0.0000,,,
,vanilla-glove,0.9500,0.7375,0.7500,0.8500,0.8500,0.8500,,,
,memorybank,1.0000,0.0375,0.3750,0.8500,0.0000,0.0500,,,
,memorybank-glove,1.0000,0.5000,0.0000,0.8500,0.8500,0.8500,,,
