Llama3.1-8B,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.3000,0.0000,0.0000,0.0000,0.0500,0.0000,0.5000,0.6000,0.3000
,vanilla,0.8000,0.0000,0.0000,0.6500,0.0000,0.0000,0.9500,0.9500,0.9500
,vanilla-glove,1.0000,0.6000,0.9500,0.5000,0.8000,0.6500,0.8500,0.9500,0.9500
,memorybank,0.9500,0.3000,0.2000,0.8500,0.4000,0.3000,0.8000,0.8000,0.9500
,memorybank-glove,0.5500,0.7500,0.2500,0.6500,0.6500,0.7000,0.9500,0.9500,0.5500
,voyager,0.7500,0.0000,0.0000,0.1500,0.0000,0.0000,0.9500,0.9000,
,voyager-glove,0.8500,0.7500,0.9000,0.5500,0.6000,0.5000,0.9500,0.8500,0.9000
,generative,1.0000,0.0000,0.0000,0.2000,0.0000,0.0000,1.0000,1.0000,
,generative-glove,0.9000,0.6000,0.9000,0.3500,0.3500,0.4500,0.8000,0.9500,0.9000
,,env0,env1,,env0,env1,,,,
implicit,no-memory,0.6500,0.8000,,0.0000,0.0000,,,,
,vanilla,0.3000,0.8000,,0.2000,0.5000,,,,
,vanilla-glove,1.0000,0.6500,,0.2500,0.9500,,,,
,memorybank,0.4000,0.5500,,0.1500,0.6500,,,,
,memorybank-glove,0.6500,0.7500,,0.1000,0.6500,,,,
,voyager,0.9000,0.8000,,0.4000,0.3500,,,,
,voyager-glove,0.4500,0.5500,,0.3000,1.0000,,,,
,generative,0.6000,0.7000,,0.3000,0.6000,,,,
,generative-glove,0.7500,0.7500,,0.3500,0.9000,,,,
