DeepSeek-R1,,,,,,,,,
,webshop,,,frozen lake,,,mountain car,,
,env0,env1,env2,env0,env1,env2,env0,env1,env2
no-memory,0.3500,0.0000,0.3500,0.0000,0.1000,0.0000,,,
vanilla,0.8750,0.0000,0.0000,0.8000,0.0000,0.0000,,,
vanilla-glove,1.0000,0.8500,0.8875,0.9000,0.9000,0.9500,,,
memorybank,0.8875,0.3500,0.3250,0.8000,0.0000,0.1000,,,
memorybank-glove,0.8000,0.6000,0.8125,0.8500,0.9000,0.9500,,,
voyager,0.9875,0.0000,0.0000,0.8500,0.0000,0.9500,,,
voyager-glove,0.4500,0.5125,0.5125,0.8000,0.9000,0.9500,,,
generative,0.9000,0.0000,0.0000,0.8000,,,,,
generative-glove,0.8500,0.8000,0.9000,0.8500,0.9000,0.9500,,,
