Llama3.1-8B,,,,,,,,,
,webshop,,,frozen lake,,,mountain car,,
,env0,env1,env2,env0,env1,env2,env0,env1,env2
no-memory,0.2375,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.6000,0.3000
vanilla,0.7000,0.0000,0.0000,0.8000,0.0000,0.0000,0.9500,0.9500,0.9500
vanilla-glove,0.8250,0.4500,0.8500,0.5500,0.7500,0.1500,0.8500,0.9500,0.9500
memorybank,0.8875,0.2625,0.1250,0.9000,0.5500,0.1000,0.8000,0.8000,0.9500
memorybank-glove,0.4500,0.6625,0.2000,0.0000,0.4500,0.0000,0.9500,0.9500,0.5500
voyager,0.6625,0.0000,0.0000,0.0000,0.0000,0.0000,0.9500,0.9000,0.9500
voyager-glove,0.7250,0.6750,0.8500,0.4000,0.7000,0.0000,0.9500,0.8500,0.9000
generative,0.9625,0.0000,0.0000,0.4500,0.0000,,1.0000,1.0000,
generative-glove,0.7750,0.5125,0.8500,0.8000,0.8000,0.5500,0.8000,0.9500,0.9000
